solution_name,sample_idx,sample_num,actual_7d,actual_28d,prior_mean_7d,prior_std_7d,posterior_mean_7d,posterior_std_7d,prior_mean_14d,prior_std_14d,posterior_mean_14d,posterior_std_14d,prior_mean_21d,prior_std_21d,posterior_mean_21d,posterior_std_21d,prior_mean_28d,prior_std_28d,posterior_mean_28d,posterior_std_28d,prior_mean_56d,prior_std_56d,posterior_mean_56d,posterior_std_56d,prior_mean_90d,prior_std_90d,posterior_mean_90d,posterior_std_90d,prior_error_28d,posterior_error_28d,improvement_28d,improvement_pct_28d,prior_uncertainty_28d,posterior_uncertainty_28d,uncertainty_reduction_28d,uncertainty_reduction_pct_28d,prior_posterior_ratio_28d,is_improved,significant_improvement
Global Scaler,82,83,36.3328,57.9994,-10.372671,8.516609,36.008915,0.041026745,-5.6034107,8.873226,40.778175,0.041026745,-2.3464375,9.199448,44.03515,0.041026745,-0.06778155,9.463396,46.313805,0.041026745,5.232092,10.17668,51.613678,0.041026745,8.891487,10.738726,55.27307,0.041026745,58.06718155267239,11.685595373535158,46.38158617913723,79.87573176263906,9.463396,0.041026745,9.422369,99.5664656162262,0.20124268237360934,True,True
Global Scaler,83,84,32.361945,35.500073,10.577236,4.6768265,27.557577,0.32144266,10.8539505,4.78688,27.834288,0.32144284,11.042923,4.863538,28.023235,0.32144353,11.175129,4.9178567,28.155401,0.32144475,11.482632,5.046277,28.462597,0.3214537,11.69495,5.136554,28.6742,0.32147458,24.324944063232422,7.344671770141602,16.98027229309082,69.8060075655294,4.9178567,0.32144475,4.5964117,93.4637188911438,0.30193992434470596,True,True
Global Scaler,84,85,27.624,28.584,-3.652502,5.922751,27.629978,0.016826712,-3.4885006,5.945018,27.793978,0.016826712,-3.376501,5.9614367,27.905977,0.016826712,-3.2981434,5.973504,27.984335,0.016826712,-3.1159,6.0034,28.16658,0.016826712,-2.9900608,6.0255194,28.29242,0.016826712,31.88214338684082,0.5996650543212887,31.28247833251953,98.11911938590428,5.973504,0.016826712,5.9566774,99.71831440925598,0.01880880614095717,True,True
Global Scaler,85,86,27.99536,28.30944,-15.116152,6.5788374,27.392044,0.016073821,-14.824717,6.668896,27.683481,0.016073821,-14.625689,6.736803,27.882507,0.016073821,-14.486444,6.787307,28.021753,0.016073821,-14.1625805,6.913974,28.345615,0.016073821,-13.938963,7.0086527,28.569235,0.016073821,42.7958844732666,0.28768668884277204,42.50819778442383,99.32777019943944,6.787307,0.016073821,6.771233,99.76317882537842,0.0067222980056057015,True,True
Global Scaler,86,87,43.71,50.26,-1.2588254,7.4238753,43.556103,0.016239189,3.3468342,7.889129,48.161762,0.016239189,6.4920883,8.281505,51.30702,0.016239189,8.692574,8.586987,53.507504,0.016239189,13.81065,9.380571,58.62558,0.016239189,17.344519,9.984791,62.159447,0.016239189,41.56742645263672,3.2475035095214864,38.31992294311523,92.18738376016182,8.586987,0.016239189,8.570747,99.81088638305664,0.07812616239838177,True,True
Global Scaler,87,88,48.83,60.8,9.122393,6.1924334,49.11974,0.03353283,14.1065445,6.4401217,54.10389,0.03353283,17.510271,6.6733856,57.507614,0.03353283,19.891592,6.8643365,59.88894,0.03353283,25.430267,7.3856916,65.42761,0.03353283,29.254549,7.7996573,69.251884,0.033535656,40.90840797424316,0.9110610961914034,39.99734687805176,97.77292458615102,6.8643365,0.03353283,6.830804,99.51149225234985,0.02227075413848976,True,True
Global Scaler,88,89,66.19,71.63,40.583466,5.148572,63.8308,0.48344934,42.356377,5.417258,65.60347,0.4834716,43.567116,5.6132503,66.8134,0.48354697,44.414177,5.75576,67.65907,0.48367578,46.38434,6.102464,69.61843,0.48467615,47.744675,6.3528504,70.95377,0.4869807,27.215823059082027,3.970927124023433,23.244895935058594,85.40949095897976,5.75576,0.48367578,5.272084,91.59666299819946,0.14590509041020236,True,True
Global Scaler,89,90,46.03,57.4,26.758121,5.0744953,44.933044,0.45153403,29.467697,5.5339446,47.642487,0.4515562,31.31809,5.891465,49.492443,0.45163107,32.612667,6.1589065,50.786274,0.45175913,35.623703,6.8256836,53.791492,0.45275295,37.702724,7.315492,55.857056,0.4550433,24.787332916259764,6.6137260437011705,18.173606872558594,73.31812153391154,6.1589065,0.45175913,5.707147,92.66494512557983,0.2668187846608846,True,True
Global Scaler,90,91,25.06,45.55,12.845831,6.459044,25.215527,0.16335402,16.940325,6.8621793,29.310017,0.16335607,19.736494,7.197728,32.10618,0.16336158,21.692757,7.4575315,34.062428,0.16337115,26.24279,8.129233,38.612354,0.16344798,29.384445,8.638907,41.75376,0.16362645,23.857243347167966,11.487572479248044,12.369670867919922,51.84870141079521,7.4575315,0.16337115,7.2941604,97.8093147277832,0.481512985892048,True,True
Global Scaler,91,92,12.4445,12.9032,-12.029612,4.968618,10.834379,0.25621185,-11.584948,5.059017,11.279043,0.25621185,-11.281275,5.1233034,11.582714,0.25621185,-11.068827,5.1694627,11.795164,0.25621185,-10.574686,5.2804346,12.289305,0.25621185,-10.2335,5.3598733,12.630491,0.25621185,23.972026675415037,1.1080358917236328,22.863990783691406,95.37779635102777,5.1694627,0.25621185,4.913251,95.04374265670776,0.04622203648972241,True,True
