Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing temp (C),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
816,[58],Mix no.8,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,0.0,450.0,,,,,830.0,830.0,1660.0,2.5,2.67,112.5,11.40%,30.10%,59%,10.5015625,16.0,0.273336806,0.093347222,2.6,3.7,0.3,0.0,0.023333333,10.5,123.3125,50.0,24.0,39.7222,43.5984,,,39.7222,,,43.5984,,,,,,,,,,,,,,,,,,,190.0,,157.2433333
817,[58],Mix no.9,56.66521739,25.1,2.272173913,8.534782609,1.264782609,0.434782609,0.869565217,0.634782609,0.0,0.0,0.0,0.0,2.486956522,60.0,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,10.50156863,16.0,0.240220801,0.105015686,2.6,3.8,0.2,0.0,0.022826087,10.5,114.2,50.0,24.0,45.0,47.3024,,,45.0,,,47.3024,,,,,,,,,,,,,,,,,,,58.75,,197.2473333
818,[58],,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,0.0,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,50.0,24.0,25.2778,27.2937,,,25.2778,,,27.2937,,,,,,,,,,,,,,,,,,,90.0,,146.8473333
819,[58],,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,0.0,450.0,,,,,830.0,830.0,1660.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.311111111,0.4,2.6,3.7,0.3,0.0,0.023333333,10.5,114.2,50.0,24.0,33.3333,38.3569,,,33.3333,,,38.3569,,,,,,,,,,,,,,,,,,,100.0,,146.6153333
820,[58],,56.66521739,25.1,2.272173913,8.534782609,1.264782609,0.434782609,0.869565217,0.634782609,0.0,0.0,0.0,0.0,2.486956522,60.0,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,112.5,11.40%,30.10%,59%,45.0,16.0,0.342391304,0.4,2.6,3.8,0.3,0.0,0.022826087,10.5,123.3125,50.0,24.0,41.3889,43.4297,,,41.3889,,,43.4297,,,,,,,,,,,,,,,,,,,30.0,,207.8753333
821,[58],Mix no.10,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,28.0,24.0,9.83321,13.3626,,,9.83321,,,13.3626,,,,,,,,,,,,,,,,,,,171.25,,118.614
822,[58],Mix no.11,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,70.0,24.0,35.7548,37.4018,,,35.7548,,,37.4018,,,,,,,,,,,,,,,,,,,171.25,,172.514
823,[58],Mix no.12,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,90.0,24.0,30.1276,32.7158,,,30.1276,,,32.7158,,,,,,,,,,,,,,,,,,,171.25,,198.1806667
824,[58],Mix no.13,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,50.0,24.0,22.7857,25.2143,,,22.7857,,,25.2143,,,,,,,,,,,,,,,,,,,171.25,,130.8056667
825,[58],Mix no.14,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.35,0.4,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,50.0,24.0,28.7857,31.0,,,28.7857,,,31.0,,,,,,,,,,,,,,,,,,,171.25,,162.889
