Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
474,[30],B32,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1041.2025,800.925,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,17,0.356862745,0.4,2.5,4.5,0.2,16.0185,0.015686275,6.4074,98.68196925,1,23.88888889,0,24,9.81813824,,,,,,,,,,,,,,8.4805548,,,12.2726728,,,,,,,,,,,114.2394568
475,[30],B33,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1041.2025,800.925,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,17,0.356862745,0.4,2.5,4.5,0.2,16.0185,0.015686275,6.4074,98.68196925,1,46.11111111,0,24,,,,,,,,,,,,,7.0326552,,11.376354,,,,,,,,,,,,,,127.7857531
476,[30],B34,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1041.2025,800.925,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,17,0.356862745,0.4,2.5,4.5,0.2,16.0185,0.015686275,6.4074,98.68196925,1,46.11111111,0,24,,,,,,,,,,,,,35.7838044,,40.7480316,,,,,,,,,,,,,,127.7857531
477,[30],C1,54.7,29,6.74,1.29,0.8,1.88,2.47,0.1,0,0,0,0,,0,,408.47175,,,,,1041.2025,800.925,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,12,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,107.0115893,2,55,0,24,25.97945568,,,,,,,,,,,,28.7511492,,29.9232584,,,32.4743196,,,,,,,,,,,136.7882345
478,[30],C2,54.7,29,6.74,1.29,0.8,1.88,2.47,0.1,0,0,0,0,,0,,408.47175,,,,,1041.2025,800.925,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,2,55,0,24,33.26032224,,,,,,,,,,,,27.3721972,,32.3364244,,,41.5754028,,,,,,,,,,,143.1687234
479,[30],C3,54.7,29,6.74,1.29,0.8,1.88,2.47,0.1,0,0,0,0,,0,,408.47175,,,,,1281.48,560.6475,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,8,0.356862745,0.4,2.5,4.5,0.2,0,0.015686275,6.4074,97.65678525,1,70,0,24,26.64135264,,,,,,,,,,,,30.681682,,33.3016908,,,33.3016908,,,,,,,,,,,114.4022567
480,[30],C4,54.7,29,6.74,1.29,0.8,1.88,2.47,0.1,0,0,0,0,,0,,408.47175,,,,,1281.48,560.6475,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.2,0,0.015686275,6.4074,87.66124125,1,70,0,24,8.273712,,,,,,,,,,,,8.273712,,9.2389784,,,10.34214,,,,,,,,,,,133.5437234
481,[31],Mix-1,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,122,16.84%,35.01%,48%,49,14,0.39953271,0.401639344,2.1,4.2,0.3,43,0.019859813,8.5,128.403,1,75,,24,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,154.8829333
482,[31],Mix-2,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,444,,,,,1170,630,1800,,,111,16.84%,35.01%,48%,44,14,0.349099099,0.396396396,2.1,4.1,0.3,43,0.02027027,9,121.2065,1,75,,24,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,146.5649333
483,[31],Mix-3,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,,1.6,,428,,,,,1170,630,1800,,,114,16.84%,35.01%,48%,57,14,0.39953271,0.5,2.1,4.2,0.3,43,0.019859813,8.5,128.071,1,75,,24,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,160.5821333
